Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
03-Nov-2017,25531.4,25695.5,25394.95,25650.7,      209613852,         5690.55
06-Nov-2017,25569.0,25694.6,25529.5,25571.15,      113274004,         3522.05
07-Nov-2017,25669.1,25695.75,25248.95,25300.8,      142004765,         4339.06
08-Nov-2017,25375.8,25435.6,25119.5,25184.35,      129898237,         4361.33
09-Nov-2017,25281.0,25385.2,25166.15,25291.35,      107367752,         3437.47
10-Nov-2017,25250.9,25598.55,25237.2,25498.95,      194999284,         6170.67
13-Nov-2017,25570.25,25611.55,25337.25,25358.3,      128569682,         4353.19
14-Nov-2017,25352.55,25404.8,25223.1,25284.6,      109491821,         3473.83
15-Nov-2017,25241.65,25318.05,25166.35,25218.9,      129989778,         3765.70
16-Nov-2017,25292.9,25496.05,25273.7,25446.6,      109711080,         3078.71
17-Nov-2017,25875.7,25924.9,25679.55,25728.4,      151001517,         4336.13
20-Nov-2017,25733.7,25803.15,25681.7,25768.6,       84963946,         2806.98
21-Nov-2017,25829.3,25871.1,25726.5,25757.5,       90303101,         2801.27
22-Nov-2017,25805.65,25831.95,25665.85,25766.65,      102044483,         3098.39
23-Nov-2017,25826.3,25838.55,25620.95,25736.25,       79020195,         2607.45
24-Nov-2017,25776.6,25849.0,25749.1,25779.65,       70107830,         2198.91
27-Nov-2017,25693.05,25931.85,25673.5,25891.95,       74084777,         2335.02
28-Nov-2017,25830.45,25953.5,25795.5,25846.4,       84399131,         2848.45
29-Nov-2017,25829.65,25877.75,25746.8,25795.7,       74982549,         2328.48
30-Nov-2017,25693.8,25700.85,25246.85,25332.4,      141631632,         4652.64
01-Dec-2017,25409.55,25441.35,25152.65,25191.95,       87545844,         2616.40
04-Dec-2017,25295.05,25297.2,24993.35,25075.1,       75646330,         2245.68
05-Dec-2017,25030.75,25217.7,24921.3,25124.85,       85698111,         2548.03
06-Dec-2017,25066.3,25077.45,24813.6,24851.8,       72791908,         2305.27
07-Dec-2017,24935.3,25097.4,24875.35,25057.25,       60226256,         1861.55
08-Dec-2017,25145.5,25367.7,25145.5,25321.15,       74109991,         2643.70
11-Dec-2017,25434.75,25448.85,25318.7,25404.85,       57217432,         1831.26
12-Dec-2017,25413.4,25416.2,25108.6,25125.45,       81540197,         2547.35
13-Dec-2017,25118.2,25270.75,24938.55,25000.35,       86127346,         2666.30
14-Dec-2017,25062.4,25205.9,24888.65,25168.2,       78224367,         2334.37
15-Dec-2017,25487.15,25559.05,25411.25,25440.3,      117591365,         4853.16
18-Dec-2017,25181.75,25759.9,24617.15,25594.55,      139126828,         4276.89
19-Dec-2017,25640.9,25757.95,25619.6,25716.2,       79480979,         2425.56
20-Dec-2017,25779.05,25780.05,25566.05,25591.7,      119152801,         3314.47
21-Dec-2017,25608.25,25629.95,25508.9,25554.3,       76744356,         2385.90
22-Dec-2017,25615.6,25694.5,25560.5,25648.55,       83031068,         2348.24
26-Dec-2017,25659.75,25712.95,25545.6,25675.25,       60209393,         2051.24
27-Dec-2017,25652.85,25733.2,25429.55,25496.05,       73081341,         2086.71
28-Dec-2017,25463.6,25561.95,25417.4,25490.0,      111429897,         3447.81
29-Dec-2017,25484.85,25566.4,25450.25,25539.45,       65580984,         2235.28
01-Jan-2018,25565.75,25588.0,25271.55,25318.1,       57576913,         2037.55
